Cidade-Uf,mes/ano,chs
MANAUS-AM,01/07/2022,"50,00%"
CURITIBA-PR,01/07/2022,"82,40%"
RECIFE-PE,01/07/2022,"76,40%"
BELEM-PA,01/07/2022,"47,20%"
PORTO ALEGRE-RS,01/07/2022,"80,30%"
GOIANIA-GO,01/07/2022,"74,30%"
GUARULHOS-SP,01/07/2022,"69,80%"
CAMPINAS-SP,01/07/2022,"77,80%"
SAO LUIS-MA,01/07/2022,"38,50%"
SAO GONCALO-RJ,01/07/2022,"57,50%"
MACEIO-AL,01/07/2022,"58,70%"
DUQUE DE CAXIAS-RJ,01/07/2022,"47,30%"
NATAL-RN,01/07/2022,"51,60%"
TERESINA-PI,01/07/2022,"43,10%"
NOVA IGUACU-RJ,01/07/2022,"56,90%"
CAMPO GRANDE-MS,01/07/2022,"73,80%"
JOAO PESSOA-PB,01/07/2022,"67,60%"
SAO BERNARDO DO CAMPO-SP,01/07/2022,"68,70%"
OSASCO-SP,01/07/2022,"77,30%"
SANTO ANDRE-SP,01/07/2022,"88,70%"
JABOATAO DOS GUARARAPES-PE,01/07/2022,"48,50%"
SAO JOSE DOS CAMPOS-SP,01/07/2022,"70,20%"
CONTAGEM-MG,01/07/2022,"87,90%"
RIBEIRAO PRETO-SP,01/07/2022,"80,70%"
UBERLANDIA-MG,01/07/2022,"72,70%"
SOROCABA-SP,01/07/2022,"77,20%"
ARACAJU-SE,01/07/2022,"67,50%"
CUIABA-MT,01/07/2022,"62,60%"
FEIRA DE SANTANA-BA,01/07/2022,"44,40%"
JUIZ DE FORA-MG,01/07/2022,"68,40%"
JOINVILLE-SC,01/07/2022,"56,20%"
LONDRINA-PR,01/07/2022,"70,80%"
BELFORD ROXO-RJ,01/07/2022,"57,70%"
ANANINDEUA-PA,01/07/2022,"65,80%"
SAO JOAO DE MERITI-RJ,01/07/2022,"81,40%"
APARECIDA DE GOIANIA-GO,01/07/2022,"76,00%"
NITEROI-RJ,01/07/2022,"83,50%"
CAMPOS DOS GOYTACAZES-RJ,01/07/2022,"48,40%"
CAXIAS DO SUL-RS,01/07/2022,"67,90%"
MAUA-SP,01/07/2022,"66,80%"
FLORIANOPOLIS-SC,01/07/2022,"87,50%"
VILA VELHA-ES,01/07/2022,"76,90%"
SANTOS-SP,01/07/2022,"69,70%"
SAO JOSE DO RIO PRETO-SP,01/07/2022,"84,10%"
PORTO VELHO-RO,01/07/2022,"53,50%"
SERRA-ES,01/07/2022,"61,00%"
DIADEMA-SP,01/07/2022,"81,70%"
OLINDA-PE,01/07/2022,"73,70%"
MACAPA-AP,01/07/2022,"27,90%"
BETIM-MG,01/07/2022,"55,10%"
CAMPINA GRANDE-PB,01/07/2022,"59,50%"
MOGI DAS CRUZES-SP,01/07/2022,"70,00%"
CARAPICUIBA-SP,01/07/2022,"85,70%"
PIRACICABA-SP,01/07/2022,"65,90%"
MONTES CLAROS-MG,01/07/2022,"62,10%"
JUNDIAI-SP,01/07/2022,"74,90%"
MARINGA-PR,01/07/2022,"81,50%"
CARIACICA-ES,01/07/2022,"52,50%"
BAURU-SP,01/07/2022,"67,50%"
ANAPOLIS-GO,01/07/2022,"70,60%"
RIO BRANCO-AC,01/07/2022,"60,80%"
CANOAS-RS,01/07/2022,"86,40%"
SAO VICENTE-SP,01/07/2022,"57,70%"
VITORIA-ES,01/07/2022,"72,50%"
PELOTAS-RS,01/07/2022,"64,30%"
FRANCA-SP,01/07/2022,"61,30%"
ITAQUAQUECETUBA-SP,01/07/2022,"62,60%"
BLUMENAU-SC,01/07/2022,"67,70%"
PONTA GROSSA-PR,01/07/2022,"70,30%"
CARUARU-PE,01/07/2022,"53,90%"
CAUCAIA-CE,01/07/2022,"28,00%"
RIBEIRAO DAS NEVES-MG,01/07/2022,"59,30%"
VITORIA DA CONQUISTA-BA,01/07/2022,"51,90%"
PAULISTA-PE,01/07/2022,"61,70%"
PETROPOLIS-RJ,01/07/2022,"60,90%"
GUARUJA-SP,01/07/2022,"54,30%"
UBERABA-MG,01/07/2022,"77,70%"
PETROLINA-PE,01/07/2022,"33,00%"
BOA VISTA-RR,01/07/2022,"50,00%"
TAUBATE-SP,01/07/2022,"82,20%"
CASCAVEL-PR,01/07/2022,"67,50%"
SANTAREM-PA,01/07/2022,"57,60%"
LIMEIRA-SP,01/07/2022,"69,90%"
SUZANO-SP,01/07/2022,"67,10%"
SAO JOSE DOS PINHAIS-PR,01/07/2022,"65,10%"
PRAIA GRANDE-SP,01/07/2022,"81,80%"
GOVERNADOR VALADARES-MG,01/07/2022,"60,30%"
VOLTA REDONDA-RJ,01/07/2022,"65,60%"
GRAVATAI-RS,01/07/2022,"74,90%"
MOSSORO-RN,01/07/2022,"60,40%"
SANTA MARIA-RS,01/07/2022,"59,60%"
FOZ DO IGUACU-PR,01/07/2022,"66,90%"
VARZEA GRANDE-MT,01/07/2022,"56,90%"
NOVO HAMBURGO-RS,01/07/2022,"71,30%"
IMPERATRIZ-MA,01/07/2022,"57,30%"
JUAZEIRO DO NORTE-CE,01/07/2022,"61,00%"
SUMARE-SP,01/07/2022,"83,30%"
BARUERI-SP,01/07/2022,"72,30%"
IPATINGA-MG,01/07/2022,"68,40%"
CAMACARI-BA,01/07/2022,"32,80%"
VIAMAO-RS,01/07/2022,"50,80%"
EMBU DAS ARTES-SP,01/07/2022,"64,10%"
ITABORAI-RJ,01/07/2022,"26,20%"
TABOAO DA SERRA-SP,01/07/2022,"74,90%"
MAGE-RJ,01/07/2022,"24,60%"
MARABA-PA,01/07/2022,"23,70%"
PALMAS-TO,01/07/2022,"45,10%"
SAO CARLOS-SP,01/07/2022,"74,40%"
COLOMBO-PR,01/07/2022,"68,40%"
ARAPIRACA-AL,01/07/2022,"69,80%"
MARILIA-SP,01/07/2022,"69,80%"
SETE LAGOAS-MG,01/07/2022,"76,60%"
SAO LEOPOLDO-RS,01/07/2022,"76,80%"
DIVINOPOLIS-MG,01/07/2022,"80,90%"
MARACANAU-CE,01/07/2022,"48,20%"
AMERICANA-SP,01/07/2022,"88,20%"
JACAREI-SP,01/07/2022,"62,40%"
ITAPEVI-SP,01/07/2022,"66,00%"
PARNAMIRIM-RN,01/07/2022,"61,10%"
PRESIDENTE PRUDENTE-SP,01/07/2022,"73,10%"
ARARAQUARA-SP,01/07/2022,"68,90%"
MACAE-RJ,01/07/2022,"42,50%"
ITABUNA-BA,01/07/2022,"32,80%"
SAO JOSE-SC,01/07/2022,"96,30%"
SANTA LUZIA-MG,01/07/2022,"62,30%"
INDAIATUBA-SP,01/07/2022,"69,30%"
ALVORADA-RS,01/07/2022,"61,40%"
COTIA-SP,01/07/2022,"69,20%"
JUAZEIRO-BA,01/07/2022,"37,70%"
HORTOLANDIA-SP,01/07/2022,"85,80%"
RIO GRANDE-RS,01/07/2022,"51,20%"
DOURADOS-MS,01/07/2022,"71,30%"
CRICIUMA-SC,01/07/2022,"74,30%"
RONDONOPOLIS-MT,01/07/2022,"70,20%"
CACHOEIRO DE ITAPEMIRIM-ES,01/07/2022,"71,20%"
CABO FRIO-RJ,01/07/2022,"58,30%"
RIO CLARO-SP,01/07/2022,"59,70%"
SOBRAL-CE,01/07/2022,"53,00%"
SANTA BARBARA DOESTE-SP,01/07/2022,"78,00%"
PASSO FUNDO-RS,01/07/2022,"75,40%"
ARACATUBA-SP,01/07/2022,"83,50%"
CHAPECO-SC,01/07/2022,"60,50%"
ITAJAI-SC,01/07/2022,"77,60%"
ILHEUS-BA,01/07/2022,"49,00%"
CABO DE SANTO AGOSTINHO-PE,01/07/2022,"43,20%"
MESQUITA-RJ,01/07/2022,"89,70%"
FERRAZ DE VASCONCELOS-SP,01/07/2022,"80,70%"
NOVA FRIBURGO-RJ,01/07/2022,"40,70%"
BARRA MANSA-RJ,01/07/2022,"48,00%"
LAURO DE FREITAS-BA,01/07/2022,"74,50%"
CASTANHAL-PA,01/07/2022,"56,90%"
RIO VERDE-GO,01/07/2022,"72,70%"
IBIRITE-MG,01/07/2022,"76,10%"
ANGRA DOS REIS-RJ,01/07/2022,"36,10%"
LUZIANIA-GO,01/07/2022,"37,30%"
GUARAPUAVA-PR,01/07/2022,"50,90%"
FRANCISCO MORATO-SP,01/07/2022,"46,20%"
NOSSA SENHORA DO SOCORRO-SE,01/07/2022,"44,30%"
AGUAS LINDAS DE GOIAS-GO,01/07/2022,"50,10%"
CAMARAGIBE-PE,01/07/2022,"54,50%"
TERESOPOLIS-RJ,01/07/2022,"59,70%"
LAGES-SC,01/07/2022,"45,10%"
ITU-SP,01/07/2022,"60,00%"
PARAUAPEBAS-PA,01/07/2022,"46,70%"
POCOS DE CALDAS-MG,01/07/2022,"65,70%"
TIMON-MA,01/07/2022,"33,40%"
NILOPOLIS-RJ,01/07/2022,"82,40%"
JEQUIE-BA,01/07/2022,"23,00%"
CAXIAS-MA,01/07/2022,"48,20%"
SAO JOSE DE RIBAMAR-MA,01/07/2022,"58,60%"
PINDAMONHANGABA-SP,01/07/2022,"35,70%"
BRAGANCA PAULISTA-SP,01/07/2022,"63,50%"
PARNAIBA-PI,01/07/2022,"31,80%"
SAO CAETANO DO SUL-SP,01/07/2022,"99,00%"
QUEIMADOS-RJ,01/07/2022,"37,10%"
ITAPETININGA-SP,01/07/2022,"64,20%"
PARANAGUA-PR,01/07/2022,"67,40%"
JARAGUA DO SUL-SC,01/07/2022,"62,00%"
LINHARES-ES,01/07/2022,"43,50%"
PALHOCA-SC,01/07/2022,"87,10%"
TEIXEIRA DE FREITAS-BA,01/07/2022,"62,70%"
VALPARAISO DE GOIAS-GO,01/07/2022,"92,90%"
PATOS DE MINAS-MG,01/07/2022,"77,50%"
ALAGOINHAS-BA,01/07/2022,"55,70%"
MOGI GUACU-SP,01/07/2022,"79,40%"
ITAPECERICA DA SERRA-SP,01/07/2022,"39,40%"
ABAETETUBA-PA,01/07/2022,"8,00%"
ARAGUAINA-TO,01/07/2022,"22,60%"
TEOFILO OTONI-MG,01/07/2022,"41,50%"
SAPUCAIA DO SUL-RS,01/07/2022,"69,50%"
JAU-SP,01/07/2022,"47,60%"
BARREIRAS-BA,01/07/2022,"57,60%"
POUSO ALEGRE-MG,01/07/2022,"46,30%"
VITORIA DE SANTO ANTAO-PE,01/07/2022,"53,10%"
MARICA-RJ,01/07/2022,"78,50%"
BOTUCATU-SP,01/07/2022,"77,40%"
BARBACENA-MG,01/07/2022,"34,20%"
GARANHUNS-PE,01/07/2022,"62,30%"
ATIBAIA-SP,01/07/2022,"73,90%"
PORTO SEGURO-BA,01/07/2022,"45,30%"
VARGINHA-MG,01/07/2022,"73,50%"
URUGUAIANA-RS,01/07/2022,"38,60%"
APUCARANA-PR,01/07/2022,"73,50%"
CUBATAO-SP,01/07/2022,"18,90%"
SANTA RITA-PB,01/07/2022,"16,50%"
RESENDE-RJ,01/07/2022,"58,40%"
ARAUCARIA-PR,01/07/2022,"63,10%"
ARARAS-SP,01/07/2022,"56,90%"
CRATO-CE,01/07/2022,"30,70%"
PINHAIS-PR,01/07/2022,"92,40%"
CACHOEIRINHA-RS,01/07/2022,"76,00%"
SABARA-MG,01/07/2022,"46,40%"
SANTA CRUZ DO SUL-RS,01/07/2022,"45,70%"
CONSELHEIRO LAFAIETE-MG,01/07/2022,"74,70%"
SIMOES FILHO-BA,01/07/2022,"20,20%"
CAMETA-PA,01/07/2022,"4,80%"
BAGE-RS,01/07/2022,"34,40%"
TOLEDO-PR,01/07/2022,"51,20%"
FRANCO DA ROCHA-SP,01/07/2022,"61,40%"
CATANDUVA-SP,01/07/2022,"76,60%"
VARZEA PAULISTA-SP,01/07/2022,"73,70%"
SANTANA DE PARNAIBA-SP,01/07/2022,"72,00%"
GUARATINGUETA-SP,01/07/2022,"78,10%"
ITAPIPOCA-CE,01/07/2022,"13,90%"
BARRETOS-SP,01/07/2022,"80,20%"
MARITUBA-PA,01/07/2022,"23,80%"
SERTAOZINHO-SP,01/07/2022,"55,80%"
BAYEUX-PB,01/07/2022,"32,20%"
SINOP-MT,01/07/2022,"78,60%"
VOTORANTIM-SP,01/07/2022,"81,20%"
CODO-MA,01/07/2022,"9,70%"
ITAGUAI-RJ,01/07/2022,"32,10%"
JI PARANA-RO,01/07/2022,"47,00%"
MARANGUAPE-CE,01/07/2022,"14,70%"
ITABIRA-MG,01/07/2022,"40,00%"
BIRIGUI-SP,01/07/2022,"52,40%"
ARARUAMA-RJ,01/07/2022,"48,60%"
BRAGANCA-PA,01/07/2022,"13,70%"
CAMPO LARGO-PR,01/07/2022,"64,20%"
PACO DO LUMIAR-MA,01/07/2022,"26,10%"
ARAGUARI-MG,01/07/2022,"49,60%"
SALTO-SP,01/07/2022,"68,10%"
VESPASIANO-MG,01/07/2022,"56,90%"
SAO MATEUS-ES,01/07/2022,"32,40%"
PASSOS-MG,01/07/2022,"43,20%"
VALINHOS-SP,01/07/2022,"82,20%"
TATUI-SP,01/07/2022,"73,70%"
ALMIRANTE TAMANDARE-PR,01/07/2022,"50,80%"
RIO DAS OSTRAS-RJ,01/07/2022,"65,10%"
CORONEL FABRICIANO-MG,01/07/2022,"42,10%"
BRUSQUE-SC,01/07/2022,"30,70%"
COLATINA-ES,01/07/2022,"28,10%"
BENTO GONCALVES-RS,01/07/2022,"76,90%"
TRINDADE-GO,01/07/2022,"49,80%"
RIBEIRAO PIRES-SP,01/07/2022,"62,60%"
ARAPONGAS-PR,01/07/2022,"84,40%"
PAULO AFONSO-BA,01/07/2022,"42,40%"
POA-SP,01/07/2022,"95,40%"
GUARAPARI-ES,01/07/2022,"78,00%"
CARAGUATATUBA-SP,01/07/2022,"80,20%"
OURINHOS-SP,01/07/2022,"55,40%"
BALNEARIO CAMBORIU-SC,01/07/2022,"97,60%"
SANTANA-AP,01/07/2022,"10,60%"
ITATIBA-SP,01/07/2022,"55,30%"
BARCARENA-PA,01/07/2022,"8,50%"
UMUARAMA-PR,01/07/2022,"57,60%"
PATOS-PB,01/07/2022,"40,60%"
MURIAE-MG,01/07/2022,"55,60%"
IGARASSU-PE,01/07/2022,"34,00%"
UBA-MG,01/07/2022,"63,50%"
NOVO GAMA-GO,01/07/2022,"33,50%"
ACAILANDIA-MA,01/07/2022,"11,20%"
TRES LAGOAS-MS,01/07/2022,"50,20%"
EUNAPOLIS-BA,01/07/2022,"32,60%"
FORMOSA-GO,01/07/2022,"44,90%"
CORUMBA-MS,01/07/2022,"42,10%"
SAO LOURENCO DA MATA-PE,01/07/2022,"24,00%"
JAPERI-RJ,01/07/2022,"13,50%"
TUBARAO-SC,01/07/2022,"66,10%"
CAMBE-PR,01/07/2022,"63,20%"
ABREU E LIMA-PE,01/07/2022,"30,60%"
GUAIBA-RS,01/07/2022,"22,20%"
BACABAL-MA,01/07/2022,"29,20%"
ERECHIM-RS,01/07/2022,"34,60%"
PARINTINS-AM,01/07/2022,"3,60%"
ITUIUTABA-MG,01/07/2022,"48,90%"
JANDIRA-SP,01/07/2022,"68,90%"
ASSIS-SP,01/07/2022,"72,20%"
TUCURUI-PA,01/07/2022,"5,80%"
CAIEIRAS-SP,01/07/2022,"62,10%"
ARAXA-MG,01/07/2022,"45,00%"
LAVRAS-MG,01/07/2022,"43,50%"
BARRA DO PIRAI-RJ,01/07/2022,"12,50%"
IGUATU-CE,01/07/2022,"25,60%"
SANTA CRUZ DO CAPIBARIBE-PE,01/07/2022,"8,20%"
ITAPERUNA-RJ,01/07/2022,"76,10%"
ALTAMIRA-PA,01/07/2022,"34,70%"
LEME-SP,01/07/2022,"47,50%"
LAGARTO-SE,01/07/2022,"15,40%"
ITUMBIARA-GO,01/07/2022,"51,30%"
PARAGOMINAS-PA,01/07/2022,"33,30%"
SANTO ANTONIO DE JESUS-BA,01/07/2022,"49,50%"
ITAJUBA-MG,01/07/2022,"43,10%"
ITAITUBA-PA,01/07/2022,"4,00%"
PIRAQUARA-PR,01/07/2022,"63,70%"
ITANHAEM-SP,01/07/2022,"75,70%"
SAO GONCALO DO AMARANTE-RN,01/07/2022,"31,90%"
ITAPEVA-SP,01/07/2022,"47,10%"
CAMPO MOURAO-PR,01/07/2022,"64,50%"
SARANDI-PR,01/07/2022,"80,50%"
SAO PEDRO DA ALDEIA-RJ,01/07/2022,"63,70%"
SENADOR CANEDO-GO,01/07/2022,"53,80%"
ITABAIANA-SE,01/07/2022,"15,40%"
ITAUNA-MG,01/07/2022,"35,60%"
CATALAO-GO,01/07/2022,"58,80%"
ARIQUEMES-RO,01/07/2022,"41,80%"
VOTUPORANGA-SP,01/07/2022,"45,60%"
CACAPAVA-SP,01/07/2022,"43,50%"
JATAI-GO,01/07/2022,"54,00%"
VALENCA-BA,01/07/2022,"9,90%"
MOGI MIRIM-SP,01/07/2022,"65,30%"
SAO JOAO DA BOA VISTA-SP,01/07/2022,"58,80%"
PAULINIA-SP,01/07/2022,"77,20%"
SAO JOAO DEL REI-MG,01/07/2022,"48,40%"
ITACOATIARA-AM,01/07/2022,"2,00%"
LORENA-SP,01/07/2022,"56,30%"
ESTEIO-RS,01/07/2022,"77,40%"
TIMOTEO-MG,01/07/2022,"48,10%"
FAZENDA RIO GRANDE-PR,01/07/2022,"73,20%"
PARA DE MINAS-MG,01/07/2022,"54,40%"
MAIRIPORA-SP,01/07/2022,"32,70%"
CANDEIAS-BA,01/07/2022,"28,40%"
BREVES-PA,01/07/2022,"1,60%"
TANGARA DA SERRA-MT,01/07/2022,"31,50%"
PARANAVAI-PR,01/07/2022,"66,80%"
CARATINGA-MG,01/07/2022,"29,80%"
AVARE-SP,01/07/2022,"38,00%"
CACERES-MT,01/07/2022,"17,90%"
PARACATU-MG,01/07/2022,"38,10%"
SANTANA DO LIVRAMENTO-RS,01/07/2022,"17,70%"
NOVA LIMA-MG,01/07/2022,"41,00%"
CACHOEIRA DO SUL-RS,01/07/2022,"12,20%"
UBATUBA-SP,01/07/2022,"67,60%"
SAO ROQUE-SP,01/07/2022,"64,60%"
ARACRUZ-ES,01/07/2022,"26,10%"
SAO CRISTOVAO-SE,01/07/2022,"30,90%"
PATROCINIO-MG,01/07/2022,"35,00%"
IPOJUCA-PE,01/07/2022,"17,60%"
SEROPEDICA-RJ,01/07/2022,"17,00%"
PLANALTINA-GO,01/07/2022,"32,70%"
CRUZEIRO-SP,01/07/2022,"34,50%"
IJUI-RS,01/07/2022,"26,10%"
TRES RIOS-RJ,01/07/2022,"16,40%"
BARRA DO CORDA-MA,01/07/2022,"2,20%"
MANHUACU-MG,01/07/2022,"27,70%"
MATAO-SP,01/07/2022,"32,80%"
ARUJA-SP,01/07/2022,"59,00%"
SERRA TALHADA-PE,01/07/2022,"19,80%"
GURUPI-TO,01/07/2022,"14,00%"
ARARIPINA-PE,01/07/2022,"9,40%"
FRANCISCO BELTRAO-PR,01/07/2022,"25,50%"
QUIXADA-CE,01/07/2022,"49,20%"
GUANAMBI-BA,01/07/2022,"56,20%"
SAPIRANGA-RS,01/07/2022,"35,60%"
SANTO ANGELO-RS,01/07/2022,"25,60%"
JACOBINA-BA,01/07/2022,"30,40%"
PINHEIRO-MA,01/07/2022,"2,20%"
CARPINA-PE,01/07/2022,"32,70%"
CAMPO LIMPO PAULISTA-SP,01/07/2022,"46,10%"
JOAO MONLEVADE-MG,01/07/2022,"57,30%"
CACOAL-RO,01/07/2022,"25,00%"
BEBEDOURO-SP,01/07/2022,"43,40%"
VILHENA-RO,01/07/2022,"20,20%"
GRAVATA-PE,01/07/2022,"29,40%"
PACATUBA-CE,01/07/2022,"49,00%"
SERRINHA-BA,01/07/2022,"48,30%"
CANINDE-CE,01/07/2022,"14,70%"
LAJEADO-RS,01/07/2022,"53,20%"
SAO BENTO DO SUL-SC,01/07/2022,"15,00%"
ALFENAS-MG,01/07/2022,"30,30%"
GOIANA-PE,01/07/2022,"14,30%"
ALEGRETE-RS,01/07/2022,"18,60%"
NOVA SERRANA-MG,01/07/2022,"34,30%"
PONTA PORA-MS,01/07/2022,"29,60%"
PATO BRANCO-PR,01/07/2022,"37,10%"
VICOSA-MG,01/07/2022,"75,10%"
CRUZEIRO DO SUL-AC,01/07/2022,"9,50%"
SAO SEBASTIAO-SP,01/07/2022,"38,60%"
TRES CORACOES-MG,01/07/2022,"25,40%"
SAQUAREMA-RJ,01/07/2022,"40,40%"
PICOS-PI,01/07/2022,"18,80%"
LINS-SP,01/07/2022,"42,50%"
JABOTICABAL-SP,01/07/2022,"37,80%"
CURVELO-MG,01/07/2022,"37,40%"
REDENCAO-PA,01/07/2022,"11,40%"
TELEMACO BORBA-PR,01/07/2022,"28,60%"
UNAI-MG,01/07/2022,"60,00%"
CACADOR-SC,01/07/2022,"35,30%"
BELO JARDIM-PE,01/07/2022,"7,30%"
SAO FELIX DO XINGU-PA,01/07/2022,"2,30%"
CATAGUASES-MG,01/07/2022,"45,10%"
PIRASSUNUNGA-SP,01/07/2022,"43,90%"
CRATEUS-CE,01/07/2022,"39,60%"
CALDAS NOVAS-GO,01/07/2022,"86,40%"
AQUIRAZ-CE,01/07/2022,"25,40%"
RIO LARGO-AL,01/07/2022,"30,40%"
IBIUNA-SP,01/07/2022,"29,50%"
VALENCA-RJ,01/07/2022,"7,90%"
PALMEIRA DOS INDIOS-AL,01/07/2022,"9,90%"
ARCOVERDE-PE,01/07/2022,"30,50%"
QUIXERAMOBIM-CE,01/07/2022,"10,50%"
CIANORTE-PR,01/07/2022,"51,90%"
OURO PRETO-MG,01/07/2022,"49,50%"
VIANA-ES,01/07/2022,"37,60%"
CAJAMAR-SP,01/07/2022,"34,90%"
CHAPADINHA-MA,01/07/2022,"6,00%"
ARACATI-CE,01/07/2022,"19,30%"
TIANGUA-CE,01/07/2022,"27,70%"
RUSSAS-CE,01/07/2022,"24,20%"
CONCORDIA-SC,01/07/2022,"17,80%"
DIAS DAVILA-BA,01/07/2022,"21,00%"
CASTRO-PR,01/07/2022,"15,60%"
CAMBORIU-SC,01/07/2022,"92,50%"
SANTA ROSA-RS,01/07/2022,"26,00%"
ITAPIRA-SP,01/07/2022,"35,70%"
MOCOCA-SP,01/07/2022,"27,60%"
CEARA MIRIM-RN,01/07/2022,"5,00%"
MACAIBA-RN,01/07/2022,"6,30%"
VINHEDO-SP,01/07/2022,"82,40%"
FERNANDOPOLIS-SP,01/07/2022,"45,70%"
SAO SEBASTIAO DO PARAISO-MG,01/07/2022,"16,20%"
AMPARO-SP,01/07/2022,"40,70%"
FORMIGA-MG,01/07/2022,"28,00%"
CASCAVEL-CE,01/07/2022,"33,50%"
EMBU GUACU-SP,01/07/2022,"45,10%"
SOUSA-PB,01/07/2022,"34,00%"
NAVEGANTES-SC,01/07/2022,"60,00%"
VENANCIO AIRES-RS,01/07/2022,"5,10%"
FARROUPILHA-RS,01/07/2022,"34,60%"
TUPA-SP,01/07/2022,"15,40%"
SORRISO-MT,01/07/2022,"35,00%"
ESTANCIA-SE,01/07/2022,"19,10%"
ICO-CE,01/07/2022,"10,40%"
CAICO-RN,01/07/2022,"26,50%"
CRUZ ALTA-RS,01/07/2022,"12,70%"
CAMAQUA-RS,01/07/2022,"11,50%"
LENCOIS PAULISTA-SP,01/07/2022,"12,70%"
CAPANEMA-PA,01/07/2022,"22,10%"
SANTO ANTONIO DO DESCOBERTO-GO,01/07/2022,"16,70%"
OURICURI-PE,01/07/2022,"4,60%"
ESCADA-PE,01/07/2022,"6,40%"
ITAMARAJU-BA,01/07/2022,"10,90%"
BRUMADO-BA,01/07/2022,"6,80%"
PACAJUS-CE,01/07/2022,"19,80%"
PESQUEIRA-PE,01/07/2022,"2,60%"
VACARIA-RS,01/07/2022,"5,90%"
CONCEICAO DO COITE-BA,01/07/2022,"39,50%"
SAO BORJA-RS,01/07/2022,"10,10%"
RIO DO SUL-SC,01/07/2022,"23,80%"
CRUZ DAS ALMAS-BA,01/07/2022,"55,10%"
ARARANGUA-SC,01/07/2022,"50,50%"
JANUARIA-MG,01/07/2022,"16,80%"
CARAZINHO-RS,01/07/2022,"24,00%"
ITABERABA-BA,01/07/2022,"27,40%"
COSMOPOLIS-SP,01/07/2022,"41,80%"
PENAPOLIS-SP,01/07/2022,"29,40%"
GOIANESIA-GO,01/07/2022,"25,70%"
MORADA NOVA-CE,01/07/2022,"6,30%"
CAMPO BOM-RS,01/07/2022,"57,80%"
PENEDO-AL,01/07/2022,"12,00%"
CAMOCIM-CE,01/07/2022,"16,10%"
BOM JESUS DA LAPA-BA,01/07/2022,"8,80%"
PEDRO LEOPOLDO-MG,01/07/2022,"28,40%"
ROLANDIA-PR,01/07/2022,"34,80%"
BIGUACU-SC,01/07/2022,"53,50%"
UNIAO DOS PALMARES-AL,01/07/2022,"4,20%"
BEZERROS-PE,01/07/2022,"9,60%"
LUIS EDUARDO MAGALHAES-BA,01/07/2022,"36,80%"
PERUIBE-SP,01/07/2022,"73,70%"
MONTENEGRO-RS,01/07/2022,"44,40%"
PALMARES-PE,01/07/2022,"8,00%"
SURUBIM-PE,01/07/2022,"9,60%"
CIDADE OCIDENTAL-GO,01/07/2022,"39,40%"
GASPAR-SC,01/07/2022,"17,80%"
ICARA-SC,01/07/2022,"29,50%"
BATATAIS-SP,01/07/2022,"13,20%"
GRAJAU-MA,01/07/2022,"2,90%"
PONTE NOVA-MG,01/07/2022,"31,40%"
SANTO AMARO-BA,01/07/2022,"10,20%"
HORIZONTE-CE,01/07/2022,"20,80%"
ACARAU-CE,01/07/2022,"2,20%"
MORENO-PE,01/07/2022,"10,60%"
UNIAO DA VITORIA-PR,01/07/2022,"26,60%"
SANTA IZABEL DO PARA-PA,01/07/2022,"4,30%"
LIMOEIRO DO NORTE-CE,01/07/2022,"16,80%"
ANDRADINA-SP,01/07/2022,"33,60%"
BARRA DO GARCAS-MT,01/07/2022,"48,20%"
GUARABIRA-PB,01/07/2022,"15,40%"
MIRASSOL-SP,01/07/2022,"34,10%"
INDAIAL-SC,01/07/2022,"50,80%"
SALGUEIRO-PE,01/07/2022,"15,80%"
TRES PONTAS-MG,01/07/2022,"5,10%"
SAO MIGUEL DOS CAMPOS-AL,01/07/2022,"4,20%"
IRATI-PR,01/07/2022,"17,50%"
RIO BONITO-RJ,01/07/2022,"28,10%"
BARBALHA-CE,01/07/2022,"22,60%"
IBITINGA-SP,01/07/2022,"24,30%"
LAGOA SANTA-MG,01/07/2022,"67,90%"
TAQUARA-RS,01/07/2022,"27,00%"
PIRAPORA-MG,01/07/2022,"22,80%"
TAUA-CE,01/07/2022,"9,00%"
LIMOEIRO-PE,01/07/2022,"10,20%"
CABEDELO-PB,01/07/2022,"42,00%"
REGISTRO-SP,01/07/2022,"24,10%"
TIMBAUBA-PE,01/07/2022,"2,30%"
TAQUARITINGA-SP,01/07/2022,"14,10%"
CACHOEIRAS DE MACACU-RJ,01/07/2022,"3,10%"
CANOINHAS-SC,01/07/2022,"18,00%"
MARIANA-MG,01/07/2022,"38,30%"
PORTO FERREIRA-SP,01/07/2022,"21,20%"
FRUTAL-MG,01/07/2022,"16,50%"
GUAPIMIRIM-RJ,01/07/2022,"32,90%"
SAO BENTO DO UNA-PE,01/07/2022,"3,00%"
CAMPO BELO-MG,01/07/2022,"37,60%"
SAO PAULO-SP,01/08/2022,"78,50%"
RIO DE JANEIRO-RJ,01/08/2022,"73,20%"
SALVADOR-BA,01/08/2022,"51,30%"
BRASILIA-DF,01/08/2022,"55,70%"
FORTALEZA-CE,01/08/2022,"63,70%"
BELO HORIZONTE-MG,01/08/2022,"85,60%"
MANAUS-AM,01/08/2022,"49,60%"
CURITIBA-PR,01/08/2022,"82,80%"
RECIFE-PE,01/08/2022,"76,40%"
BELEM-PA,01/08/2022,"48,20%"
PORTO ALEGRE-RS,01/08/2022,"81,10%"
GOIANIA-GO,01/08/2022,"75,10%"
GUARULHOS-SP,01/08/2022,"70,00%"
