Cidade,Uf,mes/ano,churn
MANAUS,AM,01/07/2022,"10,98%"
CURITIBA,PR,01/07/2022,"6,35%"
RECIFE,PE,01/07/2022,"7,85%"
BELEM,PA,01/07/2022,"13,08%"
PORTO ALEGRE,RS,01/07/2022,"5,98%"
GOIANIA,GO,01/07/2022,"8,53%"
GUARULHOS,SP,01/07/2022,"9,30%"
CAMPINAS,SP,01/07/2022,"6,46%"
SAO LUIS,MA,01/07/2022,"8,35%"
SAO GONCALO,RJ,01/07/2022,"12,54%"
MACEIO,AL,01/07/2022,"11,47%"
DUQUE DE CAXIAS,RJ,01/07/2022,"12,25%"
NATAL,RN,01/07/2022,"8,16%"
TERESINA,PI,01/07/2022,"8,15%"
NOVA IGUACU,RJ,01/07/2022,"10,86%"
CAMPO GRANDE,MS,01/07/2022,"10,39%"
JOAO PESSOA,PB,01/07/2022,"7,70%"
SAO BERNARDO DO CAMPO,SP,01/07/2022,"5,73%"
OSASCO,SP,01/07/2022,"8,73%"
SANTO ANDRE,SP,01/07/2022,"6,52%"
JABOATAO DOS GUARARAPES,PE,01/07/2022,"11,61%"
SAO JOSE DOS CAMPOS,SP,01/07/2022,"5,29%"
CONTAGEM,MG,01/07/2022,"9,15%"
RIBEIRAO PRETO,SP,01/07/2022,"6,70%"
UBERLANDIA,MG,01/07/2022,"7,07%"
SOROCABA,SP,01/07/2022,"8,45%"
ARACAJU,SE,01/07/2022,"13,03%"
CUIABA,MT,01/07/2022,"8,87%"
FEIRA DE SANTANA,BA,01/07/2022,"10,43%"
JUIZ DE FORA,MG,01/07/2022,"8,40%"
JOINVILLE,SC,01/07/2022,"6,28%"
LONDRINA,PR,01/07/2022,"5,60%"
BELFORD ROXO,RJ,01/07/2022,"16,00%"
ANANINDEUA,PA,01/07/2022,"15,22%"
SAO JOAO DE MERITI,RJ,01/07/2022,"14,40%"
APARECIDA DE GOIANIA,GO,01/07/2022,"12,00%"
NITEROI,RJ,01/07/2022,"8,68%"
CAMPOS DOS GOYTACAZES,RJ,01/07/2022,"12,63%"
CAXIAS DO SUL,RS,01/07/2022,"6,37%"
MAUA,SP,01/07/2022,"8,01%"
FLORIANOPOLIS,SC,01/07/2022,"7,22%"
VILA VELHA,ES,01/07/2022,"9,97%"
SANTOS,SP,01/07/2022,"7,72%"
SAO JOSE DO RIO PRETO,SP,01/07/2022,"6,30%"
PORTO VELHO,RO,01/07/2022,"8,76%"
SERRA,ES,01/07/2022,"8,88%"
DIADEMA,SP,01/07/2022,"7,94%"
OLINDA,PE,01/07/2022,"11,47%"
MACAPA,AP,01/07/2022,"14,69%"
BETIM,MG,01/07/2022,"10,79%"
CAMPINA GRANDE,PB,01/07/2022,"10,77%"
MOGI DAS CRUZES,SP,01/07/2022,"9,11%"
CARAPICUIBA,SP,01/07/2022,"11,29%"
PIRACICABA,SP,01/07/2022,"7,51%"
MONTES CLAROS,MG,01/07/2022,"11,28%"
JUNDIAI,SP,01/07/2022,"6,58%"
MARINGA,PR,01/07/2022,"5,93%"
CARIACICA,ES,01/07/2022,"13,05%"
BAURU,SP,01/07/2022,"7,94%"
ANAPOLIS,GO,01/07/2022,"11,25%"
RIO BRANCO,AC,01/07/2022,"12,13%"
CANOAS,RS,01/07/2022,"7,57%"
SAO VICENTE,SP,01/07/2022,"10,76%"
VITORIA,ES,01/07/2022,"7,03%"
PELOTAS,RS,01/07/2022,"8,92%"
FRANCA,SP,01/07/2022,"8,71%"
ITAQUAQUECETUBA,SP,01/07/2022,"9,73%"
BLUMENAU,SC,01/07/2022,"6,66%"
PONTA GROSSA,PR,01/07/2022,"7,87%"
CARUARU,PE,01/07/2022,"9,87%"
CAUCAIA,CE,01/07/2022,"12,04%"
RIBEIRAO DAS NEVES,MG,01/07/2022,"10,00%"
VITORIA DA CONQUISTA,BA,01/07/2022,"11,00%"
PAULISTA,PE,01/07/2022,"9,81%"
PETROPOLIS,RJ,01/07/2022,"8,45%"
GUARUJA,SP,01/07/2022,"11,82%"
UBERABA,MG,01/07/2022,"8,44%"
PETROLINA,PE,01/07/2022,"8,03%"
BOA VISTA,RR,01/07/2022,"13,11%"
TAUBATE,SP,01/07/2022,"8,07%"
CASCAVEL,PR,01/07/2022,"6,02%"
SANTAREM,PA,01/07/2022,"11,28%"
LIMEIRA,SP,01/07/2022,"6,96%"
SUZANO,SP,01/07/2022,"10,94%"
SAO JOSE DOS PINHAIS,PR,01/07/2022,"8,16%"
PRAIA GRANDE,SP,01/07/2022,"11,21%"
GOVERNADOR VALADARES,MG,01/07/2022,"7,72%"
VOLTA REDONDA,RJ,01/07/2022,"7,66%"
GRAVATAI,RS,01/07/2022,"6,67%"
MOSSORO,RN,01/07/2022,"10,95%"
SANTA MARIA,RS,01/07/2022,"7,89%"
FOZ DO IGUACU,PR,01/07/2022,"5,95%"
VARZEA GRANDE,MT,01/07/2022,"9,15%"
NOVO HAMBURGO,RS,01/07/2022,"6,34%"
IMPERATRIZ,MA,01/07/2022,"9,34%"
JUAZEIRO DO NORTE,CE,01/07/2022,"9,75%"
SUMARE,SP,01/07/2022,"7,25%"
BARUERI,SP,01/07/2022,"6,46%"
IPATINGA,MG,01/07/2022,"8,99%"
CAMACARI,BA,01/07/2022,"11,64%"
VIAMAO,RS,01/07/2022,"10,10%"
EMBU DAS ARTES,SP,01/07/2022,"10,73%"
ITABORAI,RJ,01/07/2022,"14,34%"
TABOAO DA SERRA,SP,01/07/2022,"12,13%"
MAGE,RJ,01/07/2022,"10,18%"
MARABA,PA,01/07/2022,"7,94%"
PALMAS,TO,01/07/2022,"11,20%"
SAO CARLOS,SP,01/07/2022,"7,37%"
COLOMBO,PR,01/07/2022,"11,40%"
ARAPIRACA,AL,01/07/2022,"11,11%"
MARILIA,SP,01/07/2022,"6,35%"
SETE LAGOAS,MG,01/07/2022,"9,21%"
SAO LEOPOLDO,RS,01/07/2022,"8,48%"
DIVINOPOLIS,MG,01/07/2022,"7,49%"
MARACANAU,CE,01/07/2022,"12,50%"
AMERICANA,SP,01/07/2022,"7,52%"
JACAREI,SP,01/07/2022,"7,65%"
ITAPEVI,SP,01/07/2022,"10,37%"
PARNAMIRIM,RN,01/07/2022,"9,52%"
PRESIDENTE PRUDENTE,SP,01/07/2022,"9,60%"
ARARAQUARA,SP,01/07/2022,"5,93%"
MACAE,RJ,01/07/2022,"7,83%"
ITABUNA,BA,01/07/2022,"9,24%"
SAO JOSE,SC,01/07/2022,"8,74%"
SANTA LUZIA,MG,01/07/2022,"15,56%"
INDAIATUBA,SP,01/07/2022,"9,01%"
ALVORADA,RS,01/07/2022,"10,84%"
COTIA,SP,01/07/2022,"8,46%"
JUAZEIRO,BA,01/07/2022,"9,04%"
HORTOLANDIA,SP,01/07/2022,"11,76%"
RIO GRANDE,RS,01/07/2022,"7,36%"
DOURADOS,MS,01/07/2022,"8,97%"
CRICIUMA,SC,01/07/2022,"6,32%"
RONDONOPOLIS,MT,01/07/2022,"9,28%"
CACHOEIRO DE ITAPEMIRIM,ES,01/07/2022,"9,15%"
CABO FRIO,RJ,01/07/2022,"12,36%"
RIO CLARO,SP,01/07/2022,"4,44%"
SOBRAL,CE,01/07/2022,"8,44%"
SANTA BARBARA DOESTE,SP,01/07/2022,"6,25%"
PASSO FUNDO,RS,01/07/2022,"8,67%"
ARACATUBA,SP,01/07/2022,"7,01%"
CHAPECO,SC,01/07/2022,"4,43%"
ITAJAI,SC,01/07/2022,"7,48%"
ILHEUS,BA,01/07/2022,"11,40%"
CABO DE SANTO AGOSTINHO,PE,01/07/2022,"10,05%"
MESQUITA,RJ,01/07/2022,"12,80%"
FERRAZ DE VASCONCELOS,SP,01/07/2022,"13,69%"
NOVA FRIBURGO,RJ,01/07/2022,"8,33%"
BARRA MANSA,RJ,01/07/2022,"8,14%"
LAURO DE FREITAS,BA,01/07/2022,"10,38%"
CASTANHAL,PA,01/07/2022,"11,43%"
RIO VERDE,GO,01/07/2022,"8,02%"
IBIRITE,MG,01/07/2022,"13,14%"
ANGRA DOS REIS,RJ,01/07/2022,"8,75%"
LUZIANIA,GO,01/07/2022,"11,21%"
GUARAPUAVA,PR,01/07/2022,"6,04%"
FRANCISCO MORATO,SP,01/07/2022,"10,00%"
NOSSA SENHORA DO SOCORRO,SE,01/07/2022,"30,22%"
AGUAS LINDAS DE GOIAS,GO,01/07/2022,"10,93%"
CAMARAGIBE,PE,01/07/2022,"8,29%"
TERESOPOLIS,RJ,01/07/2022,"9,82%"
LAGES,SC,01/07/2022,"5,20%"
ITU,SP,01/07/2022,"6,31%"
PARAUAPEBAS,PA,01/07/2022,"8,87%"
POCOS DE CALDAS,MG,01/07/2022,"6,52%"
TIMON,MA,01/07/2022,"11,88%"
NILOPOLIS,RJ,01/07/2022,"12,09%"
JEQUIE,BA,01/07/2022,"9,52%"
CAXIAS,MA,01/07/2022,"29,67%"
SAO JOSE DE RIBAMAR,MA,01/07/2022,"10,60%"
PINDAMONHANGABA,SP,01/07/2022,"13,19%"
BRAGANCA PAULISTA,SP,01/07/2022,"8,17%"
PARNAIBA,PI,01/07/2022,"8,97%"
SAO CAETANO DO SUL,SP,01/07/2022,"5,99%"
QUEIMADOS,RJ,01/07/2022,"17,22%"
ITAPETININGA,SP,01/07/2022,"7,91%"
PARANAGUA,PR,01/07/2022,"5,34%"
JARAGUA DO SUL,SC,01/07/2022,"6,25%"
LINHARES,ES,01/07/2022,"10,82%"
PALHOCA,SC,01/07/2022,"9,74%"
TEIXEIRA DE FREITAS,BA,01/07/2022,"9,77%"
VALPARAISO DE GOIAS,GO,01/07/2022,"8,54%"
PATOS DE MINAS,MG,01/07/2022,"8,44%"
ALAGOINHAS,BA,01/07/2022,"19,05%"
MOGI GUACU,SP,01/07/2022,"9,67%"
ITAPECERICA DA SERRA,SP,01/07/2022,"7,26%"
ABAETETUBA,PA,01/07/2022,"12,12%"
ARAGUAINA,TO,01/07/2022,"9,84%"
TEOFILO OTONI,MG,01/07/2022,"9,00%"
SAPUCAIA DO SUL,RS,01/07/2022,"9,09%"
JAU,SP,01/07/2022,"9,06%"
BARREIRAS,BA,01/07/2022,"6,94%"
POUSO ALEGRE,MG,01/07/2022,"6,21%"
VITORIA DE SANTO ANTAO,PE,01/07/2022,"12,42%"
MARICA,RJ,01/07/2022,"6,68%"
BOTUCATU,SP,01/07/2022,"5,98%"
BARBACENA,MG,01/07/2022,"12,84%"
GARANHUNS,PE,01/07/2022,"8,23%"
ATIBAIA,SP,01/07/2022,"5,94%"
PORTO SEGURO,BA,01/07/2022,"9,09%"
VARGINHA,MG,01/07/2022,"6,15%"
URUGUAIANA,RS,01/07/2022,"4,29%"
APUCARANA,PR,01/07/2022,"5,14%"
CUBATAO,SP,01/07/2022,"13,53%"
SANTA RITA,PB,01/07/2022,"17,02%"
RESENDE,RJ,01/07/2022,"9,62%"
ARAUCARIA,PR,01/07/2022,"7,53%"
ARARAS,SP,01/07/2022,"7,79%"
CRATO,CE,01/07/2022,"10,40%"
PINHAIS,PR,01/07/2022,"9,27%"
CACHOEIRINHA,RS,01/07/2022,"8,33%"
SABARA,MG,01/07/2022,"13,39%"
SANTA CRUZ DO SUL,RS,01/07/2022,"8,70%"
CONSELHEIRO LAFAIETE,MG,01/07/2022,"8,87%"
SIMOES FILHO,BA,01/07/2022,"21,65%"
CAMETA,PA,01/07/2022,"18,75%"
BAGE,RS,01/07/2022,"8,39%"
TOLEDO,PR,01/07/2022,"6,80%"
FRANCO DA ROCHA,SP,01/07/2022,"7,47%"
CATANDUVA,SP,01/07/2022,"10,07%"
VARZEA PAULISTA,SP,01/07/2022,"8,61%"
SANTANA DE PARNAIBA,SP,01/07/2022,"8,61%"
GUARATINGUETA,SP,01/07/2022,"8,16%"
ITAPIPOCA,CE,01/07/2022,"16,67%"
BARRETOS,SP,01/07/2022,"7,46%"
MARITUBA,PA,01/07/2022,"19,30%"
SERTAOZINHO,SP,01/07/2022,"8,19%"
BAYEUX,PB,01/07/2022,"4,62%"
SINOP,MT,01/07/2022,"8,25%"
VOTORANTIM,SP,01/07/2022,"6,17%"
CODO,MA,01/07/2022,"0,00%"
ITAGUAI,RJ,01/07/2022,"12,22%"
JI PARANA,RO,01/07/2022,"9,64%"
MARANGUAPE,CE,01/07/2022,"20,59%"
ITABIRA,MG,01/07/2022,"7,75%"
BIRIGUI,SP,01/07/2022,"9,42%"
ARARUAMA,RJ,01/07/2022,"13,09%"
BRAGANCA,PA,01/07/2022,"7,02%"
CAMPO LARGO,PR,01/07/2022,"5,95%"
PACO DO LUMIAR,MA,01/07/2022,"14,29%"
ARAGUARI,MG,01/07/2022,"6,60%"
SALTO,SP,01/07/2022,"9,56%"
VESPASIANO,MG,01/07/2022,"15,28%"
SAO MATEUS,ES,01/07/2022,"10,27%"
PASSOS,MG,01/07/2022,"8,44%"
VALINHOS,SP,01/07/2022,"5,73%"
TATUI,SP,01/07/2022,"10,29%"
ALMIRANTE TAMANDARE,PR,01/07/2022,"10,40%"
RIO DAS OSTRAS,RJ,01/07/2022,"12,30%"
CORONEL FABRICIANO,MG,01/07/2022,"5,35%"
BRUSQUE,SC,01/07/2022,"8,97%"
COLATINA,ES,01/07/2022,"8,33%"
BENTO GONCALVES,RS,01/07/2022,"6,41%"
TRINDADE,GO,01/07/2022,"9,59%"
RIBEIRAO PIRES,SP,01/07/2022,"9,69%"
ARAPONGAS,PR,01/07/2022,"6,49%"
PAULO AFONSO,BA,01/07/2022,"10,00%"
POA,SP,01/07/2022,"7,58%"
GUARAPARI,ES,01/07/2022,"9,51%"
CARAGUATATUBA,SP,01/07/2022,"7,11%"
OURINHOS,SP,01/07/2022,"7,62%"
BALNEARIO CAMBORIU,SC,01/07/2022,"7,31%"
SANTANA,AP,01/07/2022,"12,24%"
ITATIBA,SP,01/07/2022,"7,66%"
BARCARENA,PA,01/07/2022,"14,29%"
UMUARAMA,PR,01/07/2022,"5,39%"
PATOS,PB,01/07/2022,"10,57%"
MURIAE,MG,01/07/2022,"5,08%"
IGARASSU,PE,01/07/2022,"5,88%"
UBA,MG,01/07/2022,"13,33%"
NOVO GAMA,GO,01/07/2022,"7,84%"
ACAILANDIA,MA,01/07/2022,"10,29%"
TRES LAGOAS,MS,01/07/2022,"9,86%"
EUNAPOLIS,BA,01/07/2022,"7,02%"
FORMOSA,GO,01/07/2022,"9,93%"
CORUMBA,MS,01/07/2022,"7,10%"
SAO LOURENCO DA MATA,PE,01/07/2022,"5,88%"
JAPERI,RJ,01/07/2022,"16,39%"
TUBARAO,SC,01/07/2022,"5,43%"
CAMBE,PR,01/07/2022,"7,63%"
ABREU E LIMA,PE,01/07/2022,"15,79%"
GUAIBA,RS,01/07/2022,"7,27%"
BACABAL,MA,01/07/2022,"10,71%"
ERECHIM,RS,01/07/2022,"15,08%"
PARINTINS,AM,01/07/2022,"10,00%"
ITUIUTABA,MG,01/07/2022,"12,37%"
JANDIRA,SP,01/07/2022,"17,70%"
ASSIS,SP,01/07/2022,"6,55%"
TUCURUI,PA,01/07/2022,"6,67%"
CAIEIRAS,SP,01/07/2022,"7,17%"
ARAXA,MG,01/07/2022,"6,44%"
LAVRAS,MG,01/07/2022,"4,69%"
BARRA DO PIRAI,RJ,01/07/2022,"7,14%"
IGUATU,CE,01/07/2022,"11,86%"
SANTA CRUZ DO CAPIBARIBE,PE,01/07/2022,"2,86%"
ITAPERUNA,RJ,01/07/2022,"10,44%"
ALTAMIRA,PA,01/07/2022,"14,61%"
LEME,SP,01/07/2022,"5,41%"
LAGARTO,SE,01/07/2022,"26,00%"
ITUMBIARA,GO,01/07/2022,"8,05%"
PARAGOMINAS,PA,01/07/2022,"10,71%"
SANTO ANTONIO DE JESUS,BA,01/07/2022,"10,62%"
ITAJUBA,MG,01/07/2022,"6,53%"
ITAITUBA,PA,01/07/2022,"34,78%"
PIRAQUARA,PR,01/07/2022,"14,56%"
ITANHAEM,SP,01/07/2022,"9,36%"
SAO GONCALO DO AMARANTE,RN,01/07/2022,"11,59%"
ITAPEVA,SP,01/07/2022,"7,64%"
CAMPO MOURAO,PR,01/07/2022,"6,44%"
SARANDI,PR,01/07/2022,"10,31%"
SAO PEDRO DA ALDEIA,RJ,01/07/2022,"15,96%"
SENADOR CANEDO,GO,01/07/2022,"8,76%"
ITABAIANA,SE,01/07/2022,"51,28%"
ITAUNA,MG,01/07/2022,"5,83%"
CATALAO,GO,01/07/2022,"11,76%"
ARIQUEMES,RO,01/07/2022,"9,86%"
VOTUPORANGA,SP,01/07/2022,"5,05%"
CACAPAVA,SP,01/07/2022,"8,67%"
JATAI,GO,01/07/2022,"6,75%"
VALENCA,BA,01/07/2022,"13,89%"
MOGI MIRIM,SP,01/07/2022,"5,49%"
SAO JOAO DA BOA VISTA,SP,01/07/2022,"7,73%"
PAULINIA,SP,01/07/2022,"5,99%"
SAO JOAO DEL REI,MG,01/07/2022,"8,85%"
ITACOATIARA,AM,01/07/2022,"18,18%"
LORENA,SP,01/07/2022,"11,79%"
ESTEIO,RS,01/07/2022,"8,02%"
TIMOTEO,MG,01/07/2022,"9,62%"
FAZENDA RIO GRANDE,PR,01/07/2022,"8,61%"
PARA DE MINAS,MG,01/07/2022,"15,08%"
MAIRIPORA,SP,01/07/2022,"8,75%"
CANDEIAS,BA,01/07/2022,"4,08%"
BREVES,PA,01/07/2022,"0,00%"
TANGARA DA SERRA,MT,01/07/2022,"7,14%"
PARANAVAI,PR,01/07/2022,"7,23%"
CARATINGA,MG,01/07/2022,"3,97%"
AVARE,SP,01/07/2022,"8,72%"
CACERES,MT,01/07/2022,"25,45%"
PARACATU,MG,01/07/2022,"7,77%"
SANTANA DO LIVRAMENTO,RS,01/07/2022,"10,94%"
NOVA LIMA,MG,01/07/2022,"4,52%"
CACHOEIRA DO SUL,RS,01/07/2022,"9,09%"
UBATUBA,SP,01/07/2022,"9,60%"
SAO ROQUE,SP,01/07/2022,"13,89%"
ARACRUZ,ES,01/07/2022,"15,84%"
SAO CRISTOVAO,SE,01/07/2022,"12,50%"
PATROCINIO,MG,01/07/2022,"10,92%"
IPOJUCA,PE,01/07/2022,"11,03%"
SEROPEDICA,RJ,01/07/2022,"8,60%"
PLANALTINA,GO,01/07/2022,"16,00%"
CRUZEIRO,SP,01/07/2022,"7,03%"
IJUI,RS,01/07/2022,"8,57%"
TRES RIOS,RJ,01/07/2022,"15,48%"
BARRA DO CORDA,MA,01/07/2022,"71,43%"
MANHUACU,MG,01/07/2022,"10,68%"
MATAO,SP,01/07/2022,"11,43%"
ARUJA,SP,01/07/2022,"7,41%"
SERRA TALHADA,PE,01/07/2022,"15,38%"
GURUPI,TO,01/07/2022,"13,79%"
ARARIPINA,PE,01/07/2022,"21,05%"
FRANCISCO BELTRAO,PR,01/07/2022,"10,10%"
QUIXADA,CE,01/07/2022,"9,86%"
GUANAMBI,BA,01/07/2022,"7,19%"
SAPIRANGA,RS,01/07/2022,"8,66%"
SANTO ANGELO,RS,01/07/2022,"9,33%"
JACOBINA,BA,01/07/2022,"1,79%"
PINHEIRO,MA,01/07/2022,"14,29%"
CARPINA,PE,01/07/2022,"11,84%"
CAMPO LIMPO PAULISTA,SP,01/07/2022,"10,30%"
JOAO MONLEVADE,MG,01/07/2022,"12,67%"
CACOAL,RO,01/07/2022,"16,90%"
BEBEDOURO,SP,01/07/2022,"5,59%"
VILHENA,RO,01/07/2022,"17,31%"
GRAVATA,PE,01/07/2022,"9,02%"
PACATUBA,CE,01/07/2022,"13,51%"
SERRINHA,BA,01/07/2022,"8,43%"
CANINDE,CE,01/07/2022,"3,64%"
LAJEADO,RS,01/07/2022,"8,20%"
SAO BENTO DO SUL,SC,01/07/2022,"11,90%"
ALFENAS,MG,01/07/2022,"8,73%"
GOIANA,PE,01/07/2022,"6,98%"
ALEGRETE,RS,01/07/2022,"7,02%"
NOVA SERRANA,MG,01/07/2022,"7,69%"
PONTA PORA,MS,01/07/2022,"5,95%"
PATO BRANCO,PR,01/07/2022,"11,49%"
VICOSA,MG,01/07/2022,"5,97%"
CRUZEIRO DO SUL,AC,01/07/2022,"10,26%"
SAO SEBASTIAO,SP,01/07/2022,"10,00%"
TRES CORACOES,MG,01/07/2022,"9,78%"
SAQUAREMA,RJ,01/07/2022,"12,89%"
PICOS,PI,01/07/2022,"11,11%"
LINS,SP,01/07/2022,"7,30%"
JABOTICABAL,SP,01/07/2022,"4,55%"
CURVELO,MG,01/07/2022,"13,49%"
REDENCAO,PA,01/07/2022,"28,00%"
TELEMACO BORBA,PR,01/07/2022,"8,65%"
UNAI,MG,01/07/2022,"4,72%"
CACADOR,SC,01/07/2022,"9,38%"
BELO JARDIM,PE,01/07/2022,"17,02%"
SAO FELIX DO XINGU,PA,01/07/2022,"15,38%"
CATAGUASES,MG,01/07/2022,"8,11%"
PIRASSUNUNGA,SP,01/07/2022,"6,83%"
CRATEUS,CE,01/07/2022,"3,81%"
CALDAS NOVAS,GO,01/07/2022,"10,50%"
AQUIRAZ,CE,01/07/2022,"12,16%"
RIO LARGO,AL,01/07/2022,"14,12%"
IBIUNA,SP,01/07/2022,"12,79%"
VALENCA,RJ,01/07/2022,"16,22%"
PALMEIRA DOS INDIOS,AL,01/07/2022,"16,22%"
ARCOVERDE,PE,01/07/2022,"4,92%"
QUIXERAMOBIM,CE,01/07/2022,"25,00%"
CIANORTE,PR,01/07/2022,"4,35%"
OURO PRETO,MG,01/07/2022,"10,67%"
VIANA,ES,01/07/2022,"16,84%"
CAJAMAR,SP,01/07/2022,"8,04%"
CHAPADINHA,MA,01/07/2022,"18,18%"
ARACATI,CE,01/07/2022,"27,12%"
TIANGUA,CE,01/07/2022,"8,93%"
RUSSAS,CE,01/07/2022,"7,34%"
CONCORDIA,SC,01/07/2022,"7,69%"
DIAS DAVILA,BA,01/07/2022,"12,00%"
CASTRO,PR,01/07/2022,"22,81%"
CAMBORIU,SC,01/07/2022,"11,34%"
SANTA ROSA,RS,01/07/2022,"1,16%"
ITAPIRA,SP,01/07/2022,"8,11%"
MOCOCA,SP,01/07/2022,"3,30%"
CEARA MIRIM,RN,01/07/2022,"0,00%"
MACAIBA,RN,01/07/2022,"18,18%"
VINHEDO,SP,01/07/2022,"3,74%"
FERNANDOPOLIS,SP,01/07/2022,"7,75%"
SAO SEBASTIAO DO PARAISO,MG,01/07/2022,"5,97%"
AMPARO,SP,01/07/2022,"9,09%"
FORMIGA,MG,01/07/2022,"4,94%"
CASCAVEL,CE,01/07/2022,"9,09%"
EMBU GUACU,SP,01/07/2022,"7,32%"
SOUSA,PB,01/07/2022,"21,11%"
NAVEGANTES,SC,01/07/2022,"8,57%"
VENANCIO AIRES,RS,01/07/2022,"15,38%"
FARROUPILHA,RS,01/07/2022,"7,27%"
TUPA,SP,01/07/2022,"7,69%"
SORRISO,MT,01/07/2022,"17,78%"
ESTANCIA,SE,01/07/2022,"9,09%"
ICO,CE,01/07/2022,"3,85%"
CAICO,RN,01/07/2022,"11,48%"
CRUZ ALTA,RS,01/07/2022,"5,26%"
CAMAQUA,RS,01/07/2022,"2,63%"
LENCOIS PAULISTA,SP,01/07/2022,"16,07%"
CAPANEMA,PA,01/07/2022,"8,51%"
SANTO ANTONIO DO DESCOBERTO,GO,01/07/2022,"6,78%"
OURICURI,PE,01/07/2022,"22,22%"
ESCADA,PE,01/07/2022,"21,05%"
ITAMARAJU,BA,01/07/2022,"5,41%"
BRUMADO,BA,01/07/2022,"34,62%"
PACAJUS,CE,01/07/2022,"15,79%"
PESQUEIRA,PE,01/07/2022,"5,56%"
VACARIA,RS,01/07/2022,"36,36%"
CONCEICAO DO COITE,BA,01/07/2022,"12,99%"
SAO BORJA,RS,01/07/2022,"4,17%"
RIO DO SUL,SC,01/07/2022,"13,79%"
CRUZ DAS ALMAS,BA,01/07/2022,"5,88%"
ARARANGUA,SC,01/07/2022,"9,18%"
JANUARIA,MG,01/07/2022,"11,11%"
CARAZINHO,RS,01/07/2022,"7,69%"
ITABERABA,BA,01/07/2022,"30,30%"
COSMOPOLIS,SP,01/07/2022,"13,60%"
PENAPOLIS,SP,01/07/2022,"9,52%"
GOIANESIA,GO,01/07/2022,"21,13%"
MORADA NOVA,CE,01/07/2022,"18,52%"
CAMPO BOM,RS,01/07/2022,"12,63%"
PENEDO,AL,01/07/2022,"11,86%"
CAMOCIM,CE,01/07/2022,"16,98%"
BOM JESUS DA LAPA,BA,01/07/2022,"0,00%"
PEDRO LEOPOLDO,MG,01/07/2022,"15,31%"
ROLANDIA,PR,01/07/2022,"6,42%"
BIGUACU,SC,01/07/2022,"12,59%"
UNIAO DOS PALMARES,AL,01/07/2022,"25,00%"
BEZERROS,PE,01/07/2022,"9,84%"
LUIS EDUARDO MAGALHAES,BA,01/07/2022,"8,70%"
PERUIBE,SP,01/07/2022,"12,37%"
MONTENEGRO,RS,01/07/2022,"7,29%"
PALMARES,PE,01/07/2022,"0,00%"
SURUBIM,PE,01/07/2022,"17,07%"
CIDADE OCIDENTAL,GO,01/07/2022,"15,38%"
GASPAR,SC,01/07/2022,"12,12%"
ICARA,SC,01/07/2022,"10,53%"
BATATAIS,SP,01/07/2022,"8,00%"
GRAJAU,MA,01/07/2022,"37,50%"
PONTE NOVA,MG,01/07/2022,"8,00%"
SANTO AMARO,BA,01/07/2022,"19,05%"
HORIZONTE,CE,01/07/2022,"8,82%"
ACARAU,CE,01/07/2022,"11,11%"
MORENO,PE,01/07/2022,"16,67%"
UNIAO DA VITORIA,PR,01/07/2022,"15,52%"
SANTA IZABEL DO PARA,PA,01/07/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/07/2022,"3,85%"
ANDRADINA,SP,01/07/2022,"9,82%"
BARRA DO GARCAS,MT,01/07/2022,"14,41%"
GUARABIRA,PB,01/07/2022,"14,67%"
MIRASSOL,SP,01/07/2022,"1,08%"
INDAIAL,SC,01/07/2022,"8,62%"
SALGUEIRO,PE,01/07/2022,"11,48%"
TRES PONTAS,MG,01/07/2022,"30,77%"
SAO MIGUEL DOS CAMPOS,AL,01/07/2022,"35,00%"
IRATI,PR,01/07/2022,"1,96%"
RIO BONITO,RJ,01/07/2022,"13,33%"
BARBALHA,CE,01/07/2022,"8,20%"
IBITINGA,SP,01/07/2022,"13,92%"
LAGOA SANTA,MG,01/07/2022,"8,94%"
TAQUARA,RS,01/07/2022,"8,00%"
PIRAPORA,MG,01/07/2022,"11,86%"
TAUA,CE,01/07/2022,"10,53%"
LIMOEIRO,PE,01/07/2022,"3,03%"
CABEDELO,PB,01/07/2022,"5,43%"
REGISTRO,SP,01/07/2022,"0,00%"
TIMBAUBA,PE,01/07/2022,"0,00%"
TAQUARITINGA,SP,01/07/2022,"10,00%"
CACHOEIRAS DE MACACU,RJ,01/07/2022,"33,33%"
CANOINHAS,SC,01/07/2022,"8,51%"
MARIANA,MG,01/07/2022,"7,84%"
PORTO FERREIRA,SP,01/07/2022,"4,23%"
FRUTAL,MG,01/07/2022,"6,78%"
GUAPIMIRIM,RJ,01/07/2022,"5,94%"
SAO BENTO DO UNA,PE,01/07/2022,"15,38%"
CAMPO BELO,MG,01/07/2022,"2,65%"
SAO PAULO,SP,01/08/2022,"7,91%"
RIO DE JANEIRO,RJ,01/08/2022,"8,99%"
SALVADOR,BA,01/08/2022,"11,75%"
BRASILIA,DF,01/08/2022,"6,73%"
FORTALEZA,CE,01/08/2022,"9,59%"
BELO HORIZONTE,MG,01/08/2022,"8,14%"
MANAUS,AM,01/08/2022,"13,64%"
CURITIBA,PR,01/08/2022,"6,93%"
RECIFE,PE,01/08/2022,"8,86%"
BELEM,PA,01/08/2022,"8,88%"
PORTO ALEGRE,RS,01/08/2022,"6,98%"
GOIANIA,GO,01/08/2022,"6,61%"
GUARULHOS,SP,01/08/2022,"10,03%"
