Cidade,Uf,mes/ano,reativacao
MANAUS,AM,01/07/2022,"3,89%"
CURITIBA,PR,01/07/2022,"3,02%"
RECIFE,PE,01/07/2022,"3,45%"
BELEM,PA,01/07/2022,"3,45%"
PORTO ALEGRE,RS,01/07/2022,"2,67%"
GOIANIA,GO,01/07/2022,"3,35%"
GUARULHOS,SP,01/07/2022,"4,25%"
CAMPINAS,SP,01/07/2022,"3,27%"
SAO LUIS,MA,01/07/2022,"3,60%"
SAO GONCALO,RJ,01/07/2022,"5,78%"
MACEIO,AL,01/07/2022,"4,27%"
DUQUE DE CAXIAS,RJ,01/07/2022,"4,23%"
NATAL,RN,01/07/2022,"2,95%"
TERESINA,PI,01/07/2022,"2,34%"
NOVA IGUACU,RJ,01/07/2022,"5,95%"
CAMPO GRANDE,MS,01/07/2022,"4,34%"
JOAO PESSOA,PB,01/07/2022,"3,46%"
SAO BERNARDO DO CAMPO,SP,01/07/2022,"3,42%"
OSASCO,SP,01/07/2022,"4,44%"
SANTO ANDRE,SP,01/07/2022,"4,52%"
JABOATAO DOS GUARARAPES,PE,01/07/2022,"5,58%"
SAO JOSE DOS CAMPOS,SP,01/07/2022,"2,62%"
CONTAGEM,MG,01/07/2022,"3,66%"
RIBEIRAO PRETO,SP,01/07/2022,"3,17%"
UBERLANDIA,MG,01/07/2022,"3,43%"
SOROCABA,SP,01/07/2022,"3,55%"
ARACAJU,SE,01/07/2022,"5,18%"
CUIABA,MT,01/07/2022,"4,05%"
FEIRA DE SANTANA,BA,01/07/2022,"4,67%"
JUIZ DE FORA,MG,01/07/2022,"3,79%"
JOINVILLE,SC,01/07/2022,"3,18%"
LONDRINA,PR,01/07/2022,"2,56%"
BELFORD ROXO,RJ,01/07/2022,"7,05%"
ANANINDEUA,PA,01/07/2022,"4,41%"
SAO JOAO DE MERITI,RJ,01/07/2022,"6,36%"
APARECIDA DE GOIANIA,GO,01/07/2022,"5,49%"
NITEROI,RJ,01/07/2022,"3,18%"
CAMPOS DOS GOYTACAZES,RJ,01/07/2022,"5,33%"
CAXIAS DO SUL,RS,01/07/2022,"2,62%"
MAUA,SP,01/07/2022,"4,41%"
FLORIANOPOLIS,SC,01/07/2022,"2,32%"
VILA VELHA,ES,01/07/2022,"4,20%"
SANTOS,SP,01/07/2022,"3,49%"
SAO JOSE DO RIO PRETO,SP,01/07/2022,"2,87%"
PORTO VELHO,RO,01/07/2022,"3,04%"
SERRA,ES,01/07/2022,"5,82%"
DIADEMA,SP,01/07/2022,"4,14%"
OLINDA,PE,01/07/2022,"5,66%"
MACAPA,AP,01/07/2022,"3,22%"
BETIM,MG,01/07/2022,"3,34%"
CAMPINA GRANDE,PB,01/07/2022,"3,79%"
MOGI DAS CRUZES,SP,01/07/2022,"2,58%"
CARAPICUIBA,SP,01/07/2022,"4,00%"
PIRACICABA,SP,01/07/2022,"2,14%"
MONTES CLAROS,MG,01/07/2022,"2,35%"
JUNDIAI,SP,01/07/2022,"2,85%"
MARINGA,PR,01/07/2022,"2,77%"
CARIACICA,ES,01/07/2022,"5,02%"
BAURU,SP,01/07/2022,"2,99%"
ANAPOLIS,GO,01/07/2022,"3,05%"
RIO BRANCO,AC,01/07/2022,"2,94%"
CANOAS,RS,01/07/2022,"3,55%"
SAO VICENTE,SP,01/07/2022,"5,76%"
VITORIA,ES,01/07/2022,"3,47%"
PELOTAS,RS,01/07/2022,"2,92%"
FRANCA,SP,01/07/2022,"2,73%"
ITAQUAQUECETUBA,SP,01/07/2022,"5,64%"
BLUMENAU,SC,01/07/2022,"2,09%"
PONTA GROSSA,PR,01/07/2022,"3,50%"
CARUARU,PE,01/07/2022,"2,90%"
CAUCAIA,CE,01/07/2022,"4,38%"
RIBEIRAO DAS NEVES,MG,01/07/2022,"4,90%"
VITORIA DA CONQUISTA,BA,01/07/2022,"4,01%"
PAULISTA,PE,01/07/2022,"5,09%"
PETROPOLIS,RJ,01/07/2022,"3,84%"
GUARUJA,SP,01/07/2022,"3,75%"
UBERABA,MG,01/07/2022,"2,94%"
PETROLINA,PE,01/07/2022,"2,82%"
BOA VISTA,RR,01/07/2022,"3,89%"
TAUBATE,SP,01/07/2022,"2,32%"
CASCAVEL,PR,01/07/2022,"1,87%"
SANTAREM,PA,01/07/2022,"3,56%"
LIMEIRA,SP,01/07/2022,"2,81%"
SUZANO,SP,01/07/2022,"2,43%"
SAO JOSE DOS PINHAIS,PR,01/07/2022,"3,92%"
PRAIA GRANDE,SP,01/07/2022,"4,29%"
GOVERNADOR VALADARES,MG,01/07/2022,"3,36%"
VOLTA REDONDA,RJ,01/07/2022,"3,75%"
GRAVATAI,RS,01/07/2022,"4,31%"
MOSSORO,RN,01/07/2022,"3,33%"
SANTA MARIA,RS,01/07/2022,"1,67%"
FOZ DO IGUACU,PR,01/07/2022,"2,07%"
VARZEA GRANDE,MT,01/07/2022,"4,81%"
NOVO HAMBURGO,RS,01/07/2022,"2,29%"
IMPERATRIZ,MA,01/07/2022,"3,28%"
JUAZEIRO DO NORTE,CE,01/07/2022,"2,87%"
SUMARE,SP,01/07/2022,"3,40%"
BARUERI,SP,01/07/2022,"4,10%"
IPATINGA,MG,01/07/2022,"4,12%"
CAMACARI,BA,01/07/2022,"6,24%"
VIAMAO,RS,01/07/2022,"3,03%"
EMBU DAS ARTES,SP,01/07/2022,"3,93%"
ITABORAI,RJ,01/07/2022,"7,72%"
TABOAO DA SERRA,SP,01/07/2022,"4,23%"
MAGE,RJ,01/07/2022,"4,87%"
MARABA,PA,01/07/2022,"1,98%"
PALMAS,TO,01/07/2022,"2,12%"
SAO CARLOS,SP,01/07/2022,"2,95%"
COLOMBO,PR,01/07/2022,"2,61%"
ARAPIRACA,AL,01/07/2022,"3,52%"
MARILIA,SP,01/07/2022,"2,01%"
SETE LAGOAS,MG,01/07/2022,"4,03%"
SAO LEOPOLDO,RS,01/07/2022,"2,83%"
DIVINOPOLIS,MG,01/07/2022,"2,43%"
MARACANAU,CE,01/07/2022,"4,41%"
AMERICANA,SP,01/07/2022,"2,45%"
JACAREI,SP,01/07/2022,"3,83%"
ITAPEVI,SP,01/07/2022,"6,05%"
PARNAMIRIM,RN,01/07/2022,"3,11%"
PRESIDENTE PRUDENTE,SP,01/07/2022,"3,25%"
ARARAQUARA,SP,01/07/2022,"2,97%"
MACAE,RJ,01/07/2022,"2,85%"
ITABUNA,BA,01/07/2022,"5,94%"
SAO JOSE,SC,01/07/2022,"2,51%"
SANTA LUZIA,MG,01/07/2022,"4,03%"
INDAIATUBA,SP,01/07/2022,"1,83%"
ALVORADA,RS,01/07/2022,"4,20%"
COTIA,SP,01/07/2022,"3,45%"
JUAZEIRO,BA,01/07/2022,"3,19%"
HORTOLANDIA,SP,01/07/2022,"3,86%"
RIO GRANDE,RS,01/07/2022,"2,07%"
DOURADOS,MS,01/07/2022,"3,72%"
CRICIUMA,SC,01/07/2022,"3,16%"
RONDONOPOLIS,MT,01/07/2022,"5,57%"
CACHOEIRO DE ITAPEMIRIM,ES,01/07/2022,"3,92%"
CABO FRIO,RJ,01/07/2022,"4,83%"
RIO CLARO,SP,01/07/2022,"1,81%"
SOBRAL,CE,01/07/2022,"1,78%"
SANTA BARBARA DOESTE,SP,01/07/2022,"3,85%"
PASSO FUNDO,RS,01/07/2022,"1,93%"
ARACATUBA,SP,01/07/2022,"3,14%"
CHAPECO,SC,01/07/2022,"4,11%"
ITAJAI,SC,01/07/2022,"2,49%"
ILHEUS,BA,01/07/2022,"2,57%"
CABO DE SANTO AGOSTINHO,PE,01/07/2022,"5,29%"
MESQUITA,RJ,01/07/2022,"5,87%"
FERRAZ DE VASCONCELOS,SP,01/07/2022,"7,64%"
NOVA FRIBURGO,RJ,01/07/2022,"1,52%"
BARRA MANSA,RJ,01/07/2022,"3,58%"
LAURO DE FREITAS,BA,01/07/2022,"5,28%"
CASTANHAL,PA,01/07/2022,"2,86%"
RIO VERDE,GO,01/07/2022,"3,15%"
IBIRITE,MG,01/07/2022,"6,57%"
ANGRA DOS REIS,RJ,01/07/2022,"3,04%"
LUZIANIA,GO,01/07/2022,"1,40%"
GUARAPUAVA,PR,01/07/2022,"3,02%"
FRANCISCO MORATO,SP,01/07/2022,"6,55%"
NOSSA SENHORA DO SOCORRO,SE,01/07/2022,"5,78%"
AGUAS LINDAS DE GOIAS,GO,01/07/2022,"2,83%"
CAMARAGIBE,PE,01/07/2022,"7,25%"
TERESOPOLIS,RJ,01/07/2022,"3,02%"
LAGES,SC,01/07/2022,"2,31%"
ITU,SP,01/07/2022,"0,97%"
PARAUAPEBAS,PA,01/07/2022,"2,73%"
POCOS DE CALDAS,MG,01/07/2022,"2,90%"
TIMON,MA,01/07/2022,"6,93%"
NILOPOLIS,RJ,01/07/2022,"6,05%"
JEQUIE,BA,01/07/2022,"1,79%"
CAXIAS,MA,01/07/2022,"2,20%"
SAO JOSE DE RIBAMAR,MA,01/07/2022,"6,62%"
PINDAMONHANGABA,SP,01/07/2022,"2,56%"
BRAGANCA PAULISTA,SP,01/07/2022,"3,39%"
PARNAIBA,PI,01/07/2022,"2,07%"
SAO CAETANO DO SUL,SP,01/07/2022,"2,00%"
QUEIMADOS,RJ,01/07/2022,"3,83%"
ITAPETININGA,SP,01/07/2022,"3,24%"
PARANAGUA,PR,01/07/2022,"3,82%"
JARAGUA DO SUL,SC,01/07/2022,"2,68%"
LINHARES,ES,01/07/2022,"5,67%"
PALHOCA,SC,01/07/2022,"2,47%"
TEIXEIRA DE FREITAS,BA,01/07/2022,"2,34%"
VALPARAISO DE GOIAS,GO,01/07/2022,"3,86%"
PATOS DE MINAS,MG,01/07/2022,"1,56%"
ALAGOINHAS,BA,01/07/2022,"5,71%"
MOGI GUACU,SP,01/07/2022,"1,38%"
ITAPECERICA DA SERRA,SP,01/07/2022,"4,70%"
ABAETETUBA,PA,01/07/2022,"3,03%"
ARAGUAINA,TO,01/07/2022,"2,46%"
TEOFILO OTONI,MG,01/07/2022,"1,90%"
SAPUCAIA DO SUL,RS,01/07/2022,"4,09%"
JAU,SP,01/07/2022,"2,19%"
BARREIRAS,BA,01/07/2022,"3,70%"
POUSO ALEGRE,MG,01/07/2022,"2,29%"
VITORIA DE SANTO ANTAO,PE,01/07/2022,"1,24%"
MARICA,RJ,01/07/2022,"4,51%"
BOTUCATU,SP,01/07/2022,"3,42%"
BARBACENA,MG,01/07/2022,"5,50%"
GARANHUNS,PE,01/07/2022,"4,12%"
ATIBAIA,SP,01/07/2022,"3,45%"
PORTO SEGURO,BA,01/07/2022,"2,69%"
VARGINHA,MG,01/07/2022,"3,38%"
URUGUAIANA,RS,01/07/2022,"5,00%"
APUCARANA,PR,01/07/2022,"2,37%"
CUBATAO,SP,01/07/2022,"3,01%"
SANTA RITA,PB,01/07/2022,"6,38%"
RESENDE,RJ,01/07/2022,"2,24%"
ARAUCARIA,PR,01/07/2022,"1,71%"
ARARAS,SP,01/07/2022,"2,49%"
CRATO,CE,01/07/2022,"2,89%"
PINHAIS,PR,01/07/2022,"3,19%"
CACHOEIRINHA,RS,01/07/2022,"3,00%"
SABARA,MG,01/07/2022,"7,14%"
SANTA CRUZ DO SUL,RS,01/07/2022,"4,35%"
CONSELHEIRO LAFAIETE,MG,01/07/2022,"1,48%"
SIMOES FILHO,BA,01/07/2022,"2,06%"
CAMETA,PA,01/07/2022,"6,25%"
BAGE,RS,01/07/2022,"2,80%"
TOLEDO,PR,01/07/2022,"2,00%"
FRANCO DA ROCHA,SP,01/07/2022,"3,90%"
CATANDUVA,SP,01/07/2022,"2,24%"
VARZEA PAULISTA,SP,01/07/2022,"3,26%"
SANTANA DE PARNAIBA,SP,01/07/2022,"2,32%"
GUARATINGUETA,SP,01/07/2022,"4,08%"
ITAPIPOCA,CE,01/07/2022,"5,00%"
BARRETOS,SP,01/07/2022,"2,37%"
MARITUBA,PA,01/07/2022,"7,02%"
SERTAOZINHO,SP,01/07/2022,"3,45%"
BAYEUX,PB,01/07/2022,"7,69%"
SINOP,MT,01/07/2022,"1,25%"
VOTORANTIM,SP,01/07/2022,"2,88%"
CODO,MA,01/07/2022,"0,00%"
ITAGUAI,RJ,01/07/2022,"5,00%"
JI PARANA,RO,01/07/2022,"3,61%"
MARANGUAPE,CE,01/07/2022,"5,88%"
ITABIRA,MG,01/07/2022,"4,93%"
BIRIGUI,SP,01/07/2022,"3,59%"
ARARUAMA,RJ,01/07/2022,"5,82%"
BRAGANCA,PA,01/07/2022,"3,51%"
CAMPO LARGO,PR,01/07/2022,"2,78%"
PACO DO LUMIAR,MA,01/07/2022,"4,29%"
ARAGUARI,MG,01/07/2022,"1,02%"
SALTO,SP,01/07/2022,"3,07%"
VESPASIANO,MG,01/07/2022,"5,56%"
SAO MATEUS,ES,01/07/2022,"5,48%"
PASSOS,MG,01/07/2022,"3,80%"
VALINHOS,SP,01/07/2022,"0,00%"
TATUI,SP,01/07/2022,"2,57%"
ALMIRANTE TAMANDARE,PR,01/07/2022,"6,40%"
RIO DAS OSTRAS,RJ,01/07/2022,"4,44%"
CORONEL FABRICIANO,MG,01/07/2022,"2,67%"
BRUSQUE,SC,01/07/2022,"2,56%"
COLATINA,ES,01/07/2022,"5,30%"
BENTO GONCALVES,RS,01/07/2022,"1,28%"
TRINDADE,GO,01/07/2022,"5,94%"
RIBEIRAO PIRES,SP,01/07/2022,"4,08%"
ARAPONGAS,PR,01/07/2022,"1,91%"
PAULO AFONSO,BA,01/07/2022,"5,38%"
POA,SP,01/07/2022,"3,41%"
GUARAPARI,ES,01/07/2022,"4,61%"
CARAGUATATUBA,SP,01/07/2022,"5,53%"
OURINHOS,SP,01/07/2022,"1,35%"
BALNEARIO CAMBORIU,SC,01/07/2022,"2,74%"
SANTANA,AP,01/07/2022,"4,08%"
ITATIBA,SP,01/07/2022,"3,60%"
BARCARENA,PA,01/07/2022,"6,35%"
UMUARAMA,PR,01/07/2022,"3,59%"
PATOS,PB,01/07/2022,"1,63%"
MURIAE,MG,01/07/2022,"1,69%"
IGARASSU,PE,01/07/2022,"5,88%"
UBA,MG,01/07/2022,"3,33%"
NOVO GAMA,GO,01/07/2022,"1,96%"
ACAILANDIA,MA,01/07/2022,"1,47%"
TRES LAGOAS,MS,01/07/2022,"5,63%"
EUNAPOLIS,BA,01/07/2022,"3,51%"
FORMOSA,GO,01/07/2022,"1,32%"
CORUMBA,MS,01/07/2022,"2,37%"
SAO LOURENCO DA MATA,PE,01/07/2022,"5,88%"
JAPERI,RJ,01/07/2022,"0,00%"
TUBARAO,SC,01/07/2022,"4,52%"
CAMBE,PR,01/07/2022,"2,81%"
ABREU E LIMA,PE,01/07/2022,"5,26%"
GUAIBA,RS,01/07/2022,"3,64%"
BACABAL,MA,01/07/2022,"7,14%"
ERECHIM,RS,01/07/2022,"4,76%"
PARINTINS,AM,01/07/2022,"10,00%"
ITUIUTABA,MG,01/07/2022,"3,23%"
JANDIRA,SP,01/07/2022,"3,98%"
ASSIS,SP,01/07/2022,"3,10%"
TUCURUI,PA,01/07/2022,"3,33%"
CAIEIRAS,SP,01/07/2022,"4,22%"
ARAXA,MG,01/07/2022,"2,97%"
LAVRAS,MG,01/07/2022,"2,34%"
BARRA DO PIRAI,RJ,01/07/2022,"8,93%"
IGUATU,CE,01/07/2022,"2,54%"
SANTA CRUZ DO CAPIBARIBE,PE,01/07/2022,"1,43%"
ITAPERUNA,RJ,01/07/2022,"3,30%"
ALTAMIRA,PA,01/07/2022,"7,87%"
LEME,SP,01/07/2022,"3,78%"
LAGARTO,SE,01/07/2022,"20,00%"
ITUMBIARA,GO,01/07/2022,"4,02%"
PARAGOMINAS,PA,01/07/2022,"5,36%"
SANTO ANTONIO DE JESUS,BA,01/07/2022,"7,08%"
ITAJUBA,MG,01/07/2022,"5,03%"
ITAITUBA,PA,01/07/2022,"0,00%"
PIRAQUARA,PR,01/07/2022,"3,80%"
ITANHAEM,SP,01/07/2022,"4,35%"
SAO GONCALO DO AMARANTE,RN,01/07/2022,"2,90%"
ITAPEVA,SP,01/07/2022,"2,55%"
CAMPO MOURAO,PR,01/07/2022,"3,47%"
SARANDI,PR,01/07/2022,"4,58%"
SAO PEDRO DA ALDEIA,RJ,01/07/2022,"5,16%"
SENADOR CANEDO,GO,01/07/2022,"1,55%"
ITABAIANA,SE,01/07/2022,"2,56%"
ITAUNA,MG,01/07/2022,"0,83%"
CATALAO,GO,01/07/2022,"2,14%"
ARIQUEMES,RO,01/07/2022,"2,82%"
VOTUPORANGA,SP,01/07/2022,"3,03%"
CACAPAVA,SP,01/07/2022,"4,08%"
JATAI,GO,01/07/2022,"2,45%"
VALENCA,BA,01/07/2022,"5,56%"
MOGI MIRIM,SP,01/07/2022,"0,55%"
SAO JOAO DA BOA VISTA,SP,01/07/2022,"1,29%"
PAULINIA,SP,01/07/2022,"1,41%"
SAO JOAO DEL REI,MG,01/07/2022,"4,42%"
ITACOATIARA,AM,01/07/2022,"0,00%"
LORENA,SP,01/07/2022,"4,80%"
ESTEIO,RS,01/07/2022,"2,67%"
TIMOTEO,MG,01/07/2022,"3,21%"
FAZENDA RIO GRANDE,PR,01/07/2022,"4,87%"
PARA DE MINAS,MG,01/07/2022,"2,38%"
MAIRIPORA,SP,01/07/2022,"3,75%"
CANDEIAS,BA,01/07/2022,"2,04%"
BREVES,PA,01/07/2022,"0,00%"
TANGARA DA SERRA,MT,01/07/2022,"1,79%"
PARANAVAI,PR,01/07/2022,"3,61%"
CARATINGA,MG,01/07/2022,"3,97%"
AVARE,SP,01/07/2022,"0,00%"
CACERES,MT,01/07/2022,"3,64%"
PARACATU,MG,01/07/2022,"0,97%"
SANTANA DO LIVRAMENTO,RS,01/07/2022,"4,69%"
NOVA LIMA,MG,01/07/2022,"1,94%"
CACHOEIRA DO SUL,RS,01/07/2022,"3,03%"
UBATUBA,SP,01/07/2022,"4,95%"
SAO ROQUE,SP,01/07/2022,"2,08%"
ARACRUZ,ES,01/07/2022,"1,98%"
SAO CRISTOVAO,SE,01/07/2022,"4,55%"
PATROCINIO,MG,01/07/2022,"3,36%"
IPOJUCA,PE,01/07/2022,"4,83%"
SEROPEDICA,RJ,01/07/2022,"1,08%"
PLANALTINA,GO,01/07/2022,"3,00%"
CRUZEIRO,SP,01/07/2022,"0,78%"
IJUI,RS,01/07/2022,"3,81%"
TRES RIOS,RJ,01/07/2022,"0,00%"
BARRA DO CORDA,MA,01/07/2022,"0,00%"
MANHUACU,MG,01/07/2022,"1,94%"
MATAO,SP,01/07/2022,"4,29%"
ARUJA,SP,01/07/2022,"2,12%"
SERRA TALHADA,PE,01/07/2022,"5,13%"
GURUPI,TO,01/07/2022,"5,17%"
ARARIPINA,PE,01/07/2022,"5,26%"
FRANCISCO BELTRAO,PR,01/07/2022,"4,04%"
QUIXADA,CE,01/07/2022,"2,11%"
GUANAMBI,BA,01/07/2022,"4,58%"
SAPIRANGA,RS,01/07/2022,"0,00%"
SANTO ANGELO,RS,01/07/2022,"9,33%"
JACOBINA,BA,01/07/2022,"5,36%"
PINHEIRO,MA,01/07/2022,"14,29%"
CARPINA,PE,01/07/2022,"3,95%"
CAMPO LIMPO PAULISTA,SP,01/07/2022,"2,42%"
JOAO MONLEVADE,MG,01/07/2022,"3,33%"
CACOAL,RO,01/07/2022,"1,41%"
BEBEDOURO,SP,01/07/2022,"2,80%"
VILHENA,RO,01/07/2022,"3,85%"
GRAVATA,PE,01/07/2022,"3,01%"
PACATUBA,CE,01/07/2022,"6,76%"
SERRINHA,BA,01/07/2022,"7,23%"
CANINDE,CE,01/07/2022,"1,82%"
LAJEADO,RS,01/07/2022,"1,64%"
SAO BENTO DO SUL,SC,01/07/2022,"4,76%"
ALFENAS,MG,01/07/2022,"2,38%"
GOIANA,PE,01/07/2022,"4,65%"
ALEGRETE,RS,01/07/2022,"5,26%"
NOVA SERRANA,MG,01/07/2022,"0,00%"
PONTA PORA,MS,01/07/2022,"2,38%"
PATO BRANCO,PR,01/07/2022,"1,15%"
VICOSA,MG,01/07/2022,"0,50%"
CRUZEIRO DO SUL,AC,01/07/2022,"2,56%"
SAO SEBASTIAO,SP,01/07/2022,"3,91%"
TRES CORACOES,MG,01/07/2022,"0,00%"
SAQUAREMA,RJ,01/07/2022,"4,64%"
PICOS,PI,01/07/2022,"4,76%"
LINS,SP,01/07/2022,"3,37%"
JABOTICABAL,SP,01/07/2022,"0,76%"
CURVELO,MG,01/07/2022,"2,38%"
REDENCAO,PA,01/07/2022,"2,00%"
TELEMACO BORBA,PR,01/07/2022,"0,96%"
UNAI,MG,01/07/2022,"1,57%"
CACADOR,SC,01/07/2022,"1,56%"
BELO JARDIM,PE,01/07/2022,"2,13%"
SAO FELIX DO XINGU,PA,01/07/2022,"0,00%"
CATAGUASES,MG,01/07/2022,"2,70%"
PIRASSUNUNGA,SP,01/07/2022,"4,35%"
CRATEUS,CE,01/07/2022,"2,86%"
CALDAS NOVAS,GO,01/07/2022,"4,20%"
AQUIRAZ,CE,01/07/2022,"2,70%"
RIO LARGO,AL,01/07/2022,"5,88%"
IBIUNA,SP,01/07/2022,"5,81%"
VALENCA,RJ,01/07/2022,"0,00%"
PALMEIRA DOS INDIOS,AL,01/07/2022,"0,00%"
ARCOVERDE,PE,01/07/2022,"3,28%"
QUIXERAMOBIM,CE,01/07/2022,"0,00%"
CIANORTE,PR,01/07/2022,"0,00%"
OURO PRETO,MG,01/07/2022,"1,33%"
VIANA,ES,01/07/2022,"2,11%"
CAJAMAR,SP,01/07/2022,"4,02%"
CHAPADINHA,MA,01/07/2022,"0,00%"
ARACATI,CE,01/07/2022,"0,00%"
TIANGUA,CE,01/07/2022,"7,14%"
RUSSAS,CE,01/07/2022,"1,83%"
CONCORDIA,SC,01/07/2022,"0,00%"
DIAS DAVILA,BA,01/07/2022,"6,67%"
CASTRO,PR,01/07/2022,"0,00%"
CAMBORIU,SC,01/07/2022,"6,70%"
SANTA ROSA,RS,01/07/2022,"0,00%"
ITAPIRA,SP,01/07/2022,"2,70%"
MOCOCA,SP,01/07/2022,"2,20%"
CEARA MIRIM,RN,01/07/2022,"5,88%"
MACAIBA,RN,01/07/2022,"0,00%"
VINHEDO,SP,01/07/2022,"1,87%"
FERNANDOPOLIS,SP,01/07/2022,"2,11%"
SAO SEBASTIAO DO PARAISO,MG,01/07/2022,"2,99%"
AMPARO,SP,01/07/2022,"0,91%"
FORMIGA,MG,01/07/2022,"3,70%"
CASCAVEL,CE,01/07/2022,"1,52%"
EMBU GUACU,SP,01/07/2022,"4,07%"
SOUSA,PB,01/07/2022,"1,11%"
NAVEGANTES,SC,01/07/2022,"3,81%"
VENANCIO AIRES,RS,01/07/2022,"7,69%"
FARROUPILHA,RS,01/07/2022,"0,91%"
TUPA,SP,01/07/2022,"4,62%"
SORRISO,MT,01/07/2022,"8,89%"
ESTANCIA,SE,01/07/2022,"2,60%"
ICO,CE,01/07/2022,"1,92%"
CAICO,RN,01/07/2022,"1,64%"
CRUZ ALTA,RS,01/07/2022,"2,63%"
CAMAQUA,RS,01/07/2022,"5,26%"
LENCOIS PAULISTA,SP,01/07/2022,"8,93%"
CAPANEMA,PA,01/07/2022,"2,13%"
SANTO ANTONIO DO DESCOBERTO,GO,01/07/2022,"6,78%"
OURICURI,PE,01/07/2022,"0,00%"
ESCADA,PE,01/07/2022,"0,00%"
ITAMARAJU,BA,01/07/2022,"2,70%"
BRUMADO,BA,01/07/2022,"0,00%"
PACAJUS,CE,01/07/2022,"2,63%"
PESQUEIRA,PE,01/07/2022,"0,00%"
VACARIA,RS,01/07/2022,"0,00%"
CONCEICAO DO COITE,BA,01/07/2022,"6,49%"
SAO BORJA,RS,01/07/2022,"0,00%"
RIO DO SUL,SC,01/07/2022,"1,72%"
CRUZ DAS ALMAS,BA,01/07/2022,"1,96%"
ARARANGUA,SC,01/07/2022,"3,06%"
JANUARIA,MG,01/07/2022,"1,59%"
CARAZINHO,RS,01/07/2022,"1,54%"
ITABERABA,BA,01/07/2022,"3,03%"
COSMOPOLIS,SP,01/07/2022,"4,80%"
PENAPOLIS,SP,01/07/2022,"2,38%"
GOIANESIA,GO,01/07/2022,"4,23%"
MORADA NOVA,CE,01/07/2022,"3,70%"
CAMPO BOM,RS,01/07/2022,"7,37%"
PENEDO,AL,01/07/2022,"3,39%"
CAMOCIM,CE,01/07/2022,"0,00%"
BOM JESUS DA LAPA,BA,01/07/2022,"7,14%"
PEDRO LEOPOLDO,MG,01/07/2022,"3,06%"
ROLANDIA,PR,01/07/2022,"0,92%"
BIGUACU,SC,01/07/2022,"2,10%"
UNIAO DOS PALMARES,AL,01/07/2022,"0,00%"
BEZERROS,PE,01/07/2022,"4,92%"
LUIS EDUARDO MAGALHAES,BA,01/07/2022,"5,07%"
PERUIBE,SP,01/07/2022,"3,76%"
MONTENEGRO,RS,01/07/2022,"4,17%"
PALMARES,PE,01/07/2022,"0,00%"
SURUBIM,PE,01/07/2022,"4,88%"
CIDADE OCIDENTAL,GO,01/07/2022,"3,85%"
GASPAR,SC,01/07/2022,"0,00%"
ICARA,SC,01/07/2022,"10,53%"
BATATAIS,SP,01/07/2022,"2,00%"
GRAJAU,MA,01/07/2022,"0,00%"
PONTE NOVA,MG,01/07/2022,"2,67%"
SANTO AMARO,BA,01/07/2022,"4,76%"
HORIZONTE,CE,01/07/2022,"2,94%"
ACARAU,CE,01/07/2022,"0,00%"
MORENO,PE,01/07/2022,"3,33%"
UNIAO DA VITORIA,PR,01/07/2022,"6,90%"
SANTA IZABEL DO PARA,PA,01/07/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/07/2022,"0,00%"
ANDRADINA,SP,01/07/2022,"3,57%"
BARRA DO GARCAS,MT,01/07/2022,"5,08%"
GUARABIRA,PB,01/07/2022,"6,67%"
MIRASSOL,SP,01/07/2022,"2,15%"
INDAIAL,SC,01/07/2022,"4,31%"
SALGUEIRO,PE,01/07/2022,"1,64%"
TRES PONTAS,MG,01/07/2022,"0,00%"
SAO MIGUEL DOS CAMPOS,AL,01/07/2022,"0,00%"
IRATI,PR,01/07/2022,"3,92%"
RIO BONITO,RJ,01/07/2022,"0,95%"
BARBALHA,CE,01/07/2022,"9,84%"
IBITINGA,SP,01/07/2022,"2,53%"
LAGOA SANTA,MG,01/07/2022,"1,68%"
TAQUARA,RS,01/07/2022,"8,00%"
PIRAPORA,MG,01/07/2022,"1,69%"
TAUA,CE,01/07/2022,"5,26%"
LIMOEIRO,PE,01/07/2022,"9,09%"
CABEDELO,PB,01/07/2022,"1,09%"
REGISTRO,SP,01/07/2022,"2,33%"
TIMBAUBA,PE,01/07/2022,"0,00%"
TAQUARITINGA,SP,01/07/2022,"2,50%"
CACHOEIRAS DE MACACU,RJ,01/07/2022,"13,33%"
CANOINHAS,SC,01/07/2022,"4,26%"
MARIANA,MG,01/07/2022,"3,92%"
PORTO FERREIRA,SP,01/07/2022,"1,41%"
FRUTAL,MG,01/07/2022,"1,69%"
GUAPIMIRIM,RJ,01/07/2022,"4,95%"
SAO BENTO DO UNA,PE,01/07/2022,"0,00%"
CAMPO BELO,MG,01/07/2022,"0,88%"
SAO PAULO,SP,01/08/2022,"3,33%"
RIO DE JANEIRO,RJ,01/08/2022,"4,00%"
SALVADOR,BA,01/08/2022,"4,93%"
BRASILIA,DF,01/08/2022,"2,57%"
FORTALEZA,CE,01/08/2022,"3,11%"
BELO HORIZONTE,MG,01/08/2022,"3,27%"
MANAUS,AM,01/08/2022,"3,61%"
CURITIBA,PR,01/08/2022,"3,00%"
RECIFE,PE,01/08/2022,"3,47%"
BELEM,PA,01/08/2022,"4,49%"
PORTO ALEGRE,RS,01/08/2022,"2,92%"
GOIANIA,GO,01/08/2022,"4,07%"
GUARULHOS,SP,01/08/2022,"4,27%"
